Time [s],Packet ID,MOSI,MISO
0.000124438,0,0x80,0x03
0.000126438,0,0x85,0x88
0.000128438,0,0x86,0x00
0.000130437,0,0x87,0x00
0.000132438,0,0x88,0x00
0.000134438,0,0x96,0x00
0.000136438,0,0x80,0x20
0.001124563,1,0x80,0x03
0.001126563,1,0x85,0x88
0.001128563,1,0x86,0x00
0.001130563,1,0x87,0x00
0.001132563,1,0x88,0x00
0.001134563,1,0x96,0x00
0.001136563,1,0x80,0x20
0.002124688,2,0x80,0x03
0.002126688,2,0x85,0x88
0.002128688,2,0x86,0x00
0.002130688,2,0x87,0x00
0.002132688,2,0x88,0x00
0.002134688,2,0x96,0x00
0.002136688,2,0x80,0x20
0.003124813,3,0x80,0x03
0.003126813,3,0x85,0x88
0.003128813,3,0x86,0x00
0.003130813,3,0x87,0x00
0.003132813,3,0x88,0x00
0.003134813,3,0x96,0x00
0.003136813,3,0x80,0x20
0.004124875,4,0x80,0x03
0.004126875,4,0x85,0x88
0.004128875,4,0x86,0x00
0.004130875,4,0x87,0x00
0.004132875,4,0x88,0x00
0.004134875,4,0x96,0x00
0.004136875,4,0x80,0x20
0.005125000,5,0x80,0x03
0.005127000,5,0x85,0x88
0.005129000,5,0x86,0x00
0.005131000,5,0x87,0x00
0.005133000,5,0x88,0x00
0.005135000,5,0x96,0x00
0.005137000,5,0x80,0x20
0.006125125,6,0x80,0x03
0.006127125,6,0x85,0x88
0.006129125,6,0x86,0x00
0.006131125,6,0x87,0x00
0.006133125,6,0x88,0x00
0.006135125,6,0x96,0x00
0.006137125,6,0x80,0x20
0.007125250,7,0x80,0x03
0.007127250,7,0x85,0x88
0.007129250,7,0x86,0x00
0.007131250,7,0x87,0x00
0.007133250,7,0x88,0x00
0.007135250,7,0x96,0x00
0.007137250,7,0x80,0x20
0.008125375,8,0x80,0x03
0.008127375,8,0x85,0x88
0.008129375,8,0x86,0x00
0.008131375,8,0x87,0x00
0.008133375,8,0x88,0x00
0.008135375,8,0x96,0x00
0.008137375,8,0x80,0x20
0.009125438,9,0x80,0x03
0.009127438,9,0x85,0x88
0.009129438,9,0x86,0x00
0.009131438,9,0x87,0x00
0.009133438,9,0x88,0x00
0.009135438,9,0x96,0x00
0.009137438,9,0x80,0x20
0.010125563,10,0x80,0x03
0.010127563,10,0x85,0x88
0.010129563,10,0x86,0x00
0.010131563,10,0x87,0x00
0.010133563,10,0x88,0x00
0.010135563,10,0x96,0x00
0.010137563,10,0x80,0x20
0.011125750,11,0x80,0x03
0.011127750,11,0x85,0x88
0.011129750,11,0x86,0x00
0.011131750,11,0x87,0x00
0.011133750,11,0x88,0x00
0.011135750,11,0x96,0x00
0.011137750,11,0x80,0x20
0.012125813,12,0x80,0x03
0.012127813,12,0x85,0x88
0.012129813,12,0x86,0x00
0.012131813,12,0x87,0x00
0.012133813,12,0x88,0x00
0.012135813,12,0x96,0x00
0.012137813,12,0x80,0x20
0.013125875,13,0x80,0x03
0.013127875,13,0x85,0x88
0.013129875,13,0x86,0x00
0.013131875,13,0x87,0x00
0.013133875,13,0x88,0x00
0.013135875,13,0x96,0x00
0.013137875,13,0x80,0x20
0.014126000,14,0x80,0x03
0.014128000,14,0x85,0x88
0.014130000,14,0x86,0x00
0.014132000,14,0x87,0x00
0.014134000,14,0x88,0x00
0.014136000,14,0x96,0x00
0.014138000,14,0x80,0x20
0.015126125,15,0x80,0x03
0.015128125,15,0x85,0x88
0.015130125,15,0x86,0x00
0.015132125,15,0x87,0x00
0.015134125,15,0x88,0x00
0.015136125,15,0x96,0x00
0.015138125,15,0x80,0x20
0.016126250,16,0x80,0x03
0.016128250,16,0x85,0x88
0.016130250,16,0x86,0x00
0.016132250,16,0x87,0x00
0.016134250,16,0x88,0x00
0.016136250,16,0x96,0x00
0.016138250,16,0x80,0x20
0.017126313,17,0x80,0x03
0.017128313,17,0x85,0x88
0.017130313,17,0x86,0x00
0.017132313,17,0x87,0x00
0.017134313,17,0x88,0x00
0.017136313,17,0x96,0x00
0.017138313,17,0x80,0x20
0.018126438,18,0x80,0x03
0.018128438,18,0x85,0x88
0.018130438,18,0x86,0x00
0.018132438,18,0x87,0x00
0.018134438,18,0x88,0x00
0.018136438,18,0x96,0x00
0.018138438,18,0x80,0x20
0.019126563,19,0x80,0x03
0.019128563,19,0x85,0x88
0.019130563,19,0x86,0x00
0.019132563,19,0x87,0x00
0.019134563,19,0x88,0x00
0.019136563,19,0x96,0x00
0.019138563,19,0x80,0x20
0.020126688,20,0x80,0x03
0.020128688,20,0x85,0x88
0.020130688,20,0x86,0x00
0.020132688,20,0x87,0x00
0.020134688,20,0x88,0x00
0.020136688,20,0x96,0x00
0.020138688,20,0x80,0x20
0.021126813,21,0x80,0x03
0.021128813,21,0x85,0x88
0.021130813,21,0x86,0x00
0.021132813,21,0x87,0x00
0.021134813,21,0x88,0x00
0.021136813,21,0x96,0x00
0.021138813,21,0x80,0x20
0.022126875,22,0x80,0x03
0.022128875,22,0x85,0x88
0.022130875,22,0x86,0x00
0.022132875,22,0x87,0x00
0.022134875,22,0x88,0x00
0.022136875,22,0x96,0x00
0.022138875,22,0x80,0x20
0.023127000,23,0x80,0x03
0.023129000,23,0x85,0x88
0.023131000,23,0x86,0x00
0.023133000,23,0x87,0x00
0.023135000,23,0x88,0x00
0.023137000,23,0x96,0x00
0.023139000,23,0x80,0x20
0.024127125,24,0x80,0x03
0.024129125,24,0x85,0x88
0.024131125,24,0x86,0x00
0.024133125,24,0x87,0x00
0.024135125,24,0x88,0x00
0.024137125,24,0x96,0x00
0.024139125,24,0x80,0x20
0.025127250,25,0x80,0x03
0.025129250,25,0x85,0x88
0.025131250,25,0x86,0x00
0.025133250,25,0x87,0x00
0.025135250,25,0x88,0x00
0.025137250,25,0x96,0x00
0.025139250,25,0x80,0x20
0.026127313,26,0x80,0x03
0.026129313,26,0x85,0x88
0.026131313,26,0x86,0x00
0.026133313,26,0x87,0x00
0.026135313,26,0x88,0x00
0.026137313,26,0x96,0x00
0.026139313,26,0x80,0x20
0.027127438,27,0x80,0x03
0.027129438,27,0x85,0x88
0.027131438,27,0x86,0x00
0.027133438,27,0x87,0x00
0.027135438,27,0x88,0x00
0.027137438,27,0x96,0x00
0.027139438,27,0x80,0x20
0.028127563,28,0x80,0x03
0.028129563,28,0x85,0x88
0.028131563,28,0x86,0x00
0.028133563,28,0x87,0x00
0.028135563,28,0x88,0x00
0.028137563,28,0x96,0x00
0.028139563,28,0x80,0x20
0.029127688,29,0x80,0x03
0.029129688,29,0x85,0x88
0.029131688,29,0x86,0x00
0.029133688,29,0x87,0x00
0.029135688,29,0x88,0x00
0.029137688,29,0x96,0x00
0.029139688,29,0x80,0x20
0.030127750,30,0x80,0x03
0.030129750,30,0x85,0x88
0.030131750,30,0x86,0x00
0.030133750,30,0x87,0x00
0.030135750,30,0x88,0x00
0.030137750,30,0x96,0x00
0.030139750,30,0x80,0x20
0.031127875,31,0x80,0x03
0.031129875,31,0x85,0x88
0.031131875,31,0x86,0x00
0.031133875,31,0x87,0x00
0.031135875,31,0x88,0x00
0.031137875,31,0x96,0x00
0.031139875,31,0x80,0x20
0.032128000,32,0x80,0x03
0.032130000,32,0x85,0x88
0.032132000,32,0x86,0x00
0.032134000,32,0x87,0x00
0.032136000,32,0x88,0x00
0.032138000,32,0x96,0x00
0.032140000,32,0x80,0x20
0.033128125,33,0x80,0x03
0.033130125,33,0x85,0x88
0.033132125,33,0x86,0x00
0.033134125,33,0x87,0x00
0.033136125,33,0x88,0x00
0.033138125,33,0x96,0x00
0.033140125,33,0x80,0x20
0.034128188,34,0x80,0x03
0.034130188,34,0x85,0x88
0.034132188,34,0x86,0x00
0.034134188,34,0x87,0x00
0.034136250,34,0x88,0x00
0.034138250,34,0x96,0x00
0.034140250,34,0x80,0x20
0.035128313,35,0x80,0x03
0.035130313,35,0x85,0x88
0.035132313,35,0x86,0x00
0.035134313,35,0x87,0x00
0.035136313,35,0x88,0x00
0.035138313,35,0x96,0x00
0.035140313,35,0x80,0x20
0.036128438,36,0x80,0x03
0.036130438,36,0x85,0x88
0.036132438,36,0x86,0x00
0.036134438,36,0x87,0x00
0.036136438,36,0x88,0x00
0.036138438,36,0x96,0x00
0.036140438,36,0x80,0x20
0.037128563,37,0x80,0x03
0.037130563,37,0x85,0x88
0.037132563,37,0x86,0x00
0.037134563,37,0x87,0x00
0.037136563,37,0x88,0x00
0.037138563,37,0x96,0x00
0.037140563,37,0x80,0x20
0.038128688,38,0x80,0x03
0.038130688,38,0x85,0x88
0.038132688,38,0x86,0x00
0.038134688,38,0x87,0x00
0.038136688,38,0x88,0x00
0.038138688,38,0x96,0x00
0.038140688,38,0x80,0x20
0.039128750,39,0x80,0x03
