Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.00000000, 1, 0, 0, 0
0.27282770, 1, 0, 0, 1
0.27282774, 1, 0, 0, 0
0.27283014, 0, 0, 0, 0
0.27283016, 0, 0, 1, 0
0.27283026, 1, 0, 1, 0
0.27283038, 0, 0, 1, 0
0.27283040, 0, 0, 0, 0
0.27283050, 1, 0, 0, 0
0.27283062, 0, 0, 0, 0
0.27283076, 1, 0, 0, 0
0.27283088, 0, 0, 0, 0
0.27283100, 1, 0, 0, 0
0.27283112, 0, 0, 0, 0
0.27283124, 1, 0, 0, 0
0.27283136, 0, 0, 0, 0
0.27283138, 0, 1, 0, 0
0.27283150, 1, 1, 0, 0
0.27283162, 0, 0, 0, 0
0.27283164, 0, 0, 1, 0
0.27283174, 1, 0, 1, 0
0.27283186, 0, 0, 1, 0
0.27283188, 0, 1, 1, 0
0.27283198, 1, 1, 1, 0
0.27283260, 1, 1, 0, 0
0.27283542, 0, 1, 0, 0
0.27283544, 0, 0, 0, 0
0.27283546, 0, 0, 1, 0
0.27283556, 1, 0, 1, 0
0.27283568, 0, 0, 1, 0
0.27283570, 0, 0, 0, 0
0.27283580, 1, 0, 0, 0
0.27283592, 0, 0, 0, 0
0.27283594, 0, 1, 0, 0
0.27283604, 1, 1, 0, 0
0.27283616, 0, 1, 0, 0
0.27283628, 1, 1, 0, 0
0.27283642, 0, 0, 0, 0
0.27283654, 1, 0, 0, 0
0.27283666, 0, 0, 0, 0
0.27283678, 1, 0, 0, 0
0.27283690, 0, 0, 0, 0
0.27283702, 1, 0, 0, 0
0.27283716, 0, 0, 0, 0
0.27283728, 1, 0, 0, 0
0.27283868, 1, 0, 0, 1
0.27283886, 1, 0, 0, 0
0.27284128, 0, 0, 0, 0
0.27284140, 1, 0, 0, 0
0.27284152, 0, 0, 0, 0
0.27284164, 1, 0, 0, 0
0.27284176, 0, 0, 0, 0
0.27284188, 1, 0, 0, 0
0.27284200, 0, 0, 0, 0
0.27284214, 1, 0, 0, 0
0.27284226, 0, 0, 0, 0
0.27284238, 1, 0, 0, 0
0.27284250, 0, 0, 0, 0
0.27284252, 0, 1, 0, 0
0.27284262, 1, 1, 0, 0
0.27284274, 0, 1, 0, 0
0.27284276, 0, 0, 0, 0
0.27284278, 0, 0, 1, 0
0.27284288, 1, 0, 1, 0
0.27284300, 0, 1, 1, 0
