Time [s],Packet ID,MOSI,MISO
0.272830140,0,0x83,0x05
0.272835420,0,0x80,0x30
0.272841280,1,0x03,0x05
0.272846560,1,0x20,0x30
0.272858640,2,0x80,0x05
0.272860600,2,0x85,0x88
0.272862560,2,0x86,0x00
0.272864540,2,0x87,0x00
0.272866500,2,0x88,0x00
0.272868480,2,0x96,0x00
0.272870440,2,0x80,0x20
0.273895400,3,0x80,0x04
0.273897400,3,0x85,0x88
0.273899400,3,0x86,0x00
0.273901400,3,0x87,0x00
0.273903400,3,0x88,0x00
0.273905400,3,0x96,0x00
0.273907400,3,0x80,0x20
0.274477760,4,0x0B,0x04
0.274483040,4,0x70,0x70
0.274488760,5,0x83,0x04
0.274494060,5,0x80,0x20
0.274499900,6,0x03,0x04
0.274505180,6,0x30,0x20
0.762826120,8,0x83,0x05
0.762831420,8,0x80,0x30
0.762837260,9,0x03,0x05
0.762842560,9,0x20,0x30
0.762854640,10,0x80,0x05
0.762856600,10,0x85,0x88
0.762858580,10,0x86,0x00
0.762860540,10,0x87,0x00
0.762862520,10,0x88,0x00
0.762864480,10,0x96,0x00
0.762866460,10,0x80,0x20
0.763472260,11,0x0B,0x04
0.763477540,11,0x70,0x70
0.763483260,12,0x83,0x04
0.763488560,12,0x80,0x20
0.763494400,13,0x03,0x04
0.763499700,13,0x30,0x20
1.251848900,15,0x83,0x05
1.251854200,15,0x80,0x30
1.251860060,16,0x03,0x05
1.251865360,16,0x20,0x30
1.251877440,17,0x80,0x05
1.251879420,17,0x85,0x88
1.251881380,17,0x86,0x00
1.251883360,17,0x87,0x00
1.251885320,17,0x88,0x00
1.251887300,17,0x96,0x00
1.251889280,17,0x80,0x20
1.252914560,18,0x80,0x04
1.252916560,18,0x85,0x88
1.252918560,18,0x86,0x00
1.252920560,18,0x87,0x00
1.252922560,18,0x88,0x00
1.252924560,18,0x96,0x00
1.252926560,18,0x80,0x20
1.253498960,19,0x0B,0x04
1.253504260,19,0x70,0x70
1.253509980,20,0x83,0x04
1.253515280,20,0x80,0x20
1.253521140,21,0x03,0x04
1.253526440,21,0x30,0x20
1.741842120,23,0x83,0x05
1.741847420,23,0x80,0x30
1.741853260,24,0x03,0x05
1.741858560,24,0x20,0x30
1.741870640,25,0x80,0x05
1.741872600,25,0x85,0x88
1.741874580,25,0x86,0x00
1.741876540,25,0x87,0x00
1.741878500,25,0x88,0x00
1.741880480,25,0x96,0x00
1.741882440,25,0x80,0x20
1.742488560,26,0x0B,0x04
1.742493860,26,0x70,0x70
1.742499580,27,0x83,0x04
1.742504880,27,0x80,0x20
1.742510720,28,0x03,0x04
1.742516020,28,0x30,0x20
2.230864400,30,0x83,0x05
2.230869700,30,0x80,0x30
2.230875540,31,0x03,0x05
2.230880840,31,0x20,0x30
2.230892920,32,0x80,0x05
2.230894880,32,0x85,0x88
2.230896860,32,0x86,0x00
2.230898820,32,0x87,0x00
2.230900800,32,0x88,0x00
2.230902760,32,0x96,0x00
2.230904740,32,0x80,0x20
2.231929940,33,0x80,0x04
2.231931940,33,0x85,0x88
2.231933940,33,0x86,0x00
2.231935940,33,0x87,0x00
2.231937940,33,0x88,0x00
2.231939940,33,0x96,0x00
2.231941940,33,0x80,0x20
2.232513380,34,0x0B,0x04
2.232518680,34,0x70,0x70
2.232524400,35,0x83,0x04
2.232529700,35,0x80,0x20
2.232535560,36,0x03,0x04
2.232540840,36,0x30,0x20
2.720849640,38,0x83,0x05
2.720854940,38,0x80,0x30
2.720860780,39,0x03,0x05
2.720866080,39,0x20,0x30
2.720878160,40,0x80,0x05
2.720880120,40,0x85,0x88
2.720882100,40,0x86,0x00
2.720884060,40,0x87,0x00
2.720886040,40,0x88,0x00
2.720888000,40,0x96,0x00
2.720889980,40,0x80,0x20
2.721496360,41,0x0B,0x04
2.721501660,41,0x70,0x70
2.721507380,42,0x83,0x04
2.721512680,42,0x80,0x20
2.721518540,43,0x03,0x04
2.721523840,43,0x30,0x20
3.209857680,45,0x83,0x05
3.209862980,45,0x80,0x30
3.209868840,46,0x03,0x05
3.209874140,46,0x20,0x30
3.209886240,47,0x80,0x05
3.209888200,47,0x85,0x88
3.209890180,47,0x86,0x00
3.209892140,47,0x87,0x00
3.209894120,47,0x88,0x00
3.209896080,47,0x96,0x00
3.209898060,47,0x80,0x20
3.210923840,48,0x80,0x04
3.210925840,48,0x85,0x88
3.210927840,48,0x86,0x00
3.210929840,48,0x87,0x00
3.210931840,48,0x88,0x00
3.210933840,48,0x96,0x00
3.210935840,48,0x80,0x20
3.211507220,49,0x0B,0x04
3.211512520,49,0x70,0x70
3.211518240,50,0x83,0x04
3.211523540,50,0x80,0x20
3.211529400,51,0x03,0x04
3.211534680,51,0x30,0x20
3.699847980,53,0x83,0x05
3.699853280,53,0x80,0x30
3.699859140,54,0x03,0x05
3.699864440,54,0x20,0x30
3.699876520,55,0x80,0x05
3.699878500,55,0x85,0x88
3.699880460,55,0x86,0x00
3.699882440,55,0x87,0x00
3.699884420,55,0x88,0x00
3.699886380,55,0x96,0x00
3.699888360,55,0x80,0x20
3.700495020,56,0x0B,0x04
3.700500320,56,0x70,0x70
3.700506060,57,0x83,0x04
3.700511360,57,0x80,0x20
3.700517220,58,0x03,0x04
3.700522520,58,0x30,0x20
4.188859440,60,0x83,0x05
4.188864740,60,0x80,0x30
4.188870600,61,0x03,0x05
4.188875900,61,0x20,0x30
4.188887980,62,0x80,0x05
4.188889960,62,0x85,0x88
4.188891920,62,0x86,0x00
