Time [s],Packet ID,MOSI,MISO
-0.000015760,0,0x80,0x03
-0.000013760,0,0x85,0x88
-0.000011760,0,0x86,0x00
-0.000009760,0,0x87,0x00
-0.000007760,0,0x88,0x00
-0.000005760,0,0x96,0x00
-0.000003760,0,0x80,0x20
0.000984340,1,0x80,0x03
0.000986340,1,0x85,0x88
0.000988340,1,0x86,0x00
0.000990340,1,0x87,0x00
0.000992340,1,0x88,0x00
0.000994340,1,0x96,0x00
0.000996340,1,0x80,0x20
0.001984460,2,0x80,0x03
0.001986460,2,0x85,0x88
0.001988460,2,0x86,0x00
0.001990460,2,0x87,0x00
0.001992460,2,0x88,0x00
0.001994460,2,0x96,0x00
0.001996460,2,0x80,0x20
0.002984560,3,0x80,0x03
0.002986560,3,0x85,0x88
0.002988560,3,0x86,0x00
0.002990560,3,0x87,0x00
0.002992560,3,0x88,0x00
0.002994560,3,0x96,0x00
0.002996560,3,0x80,0x20
0.003984680,4,0x80,0x03
0.003986680,4,0x85,0x88
0.003988680,4,0x86,0x00
0.003990680,4,0x87,0x00
0.003992680,4,0x88,0x00
0.003994680,4,0x96,0x00
0.003996680,4,0x80,0x20
0.004984780,5,0x80,0x03
0.004986780,5,0x85,0x88
0.004988780,5,0x86,0x00
0.004990780,5,0x87,0x00
0.004992780,5,0x88,0x00
0.004994780,5,0x96,0x00
0.004996780,5,0x80,0x20
0.005984900,6,0x80,0x03
0.005986900,6,0x85,0x88
0.005988900,6,0x86,0x00
0.005990900,6,0x87,0x00
0.005992900,6,0x88,0x00
0.005994900,6,0x96,0x00
0.005996900,6,0x80,0x20
0.006985000,7,0x80,0x03
0.006987000,7,0x85,0x88
0.006989000,7,0x86,0x00
0.006991000,7,0x87,0x00
0.006993000,7,0x88,0x00
0.006995000,7,0x96,0x00
0.006997000,7,0x80,0x20
0.007985120,8,0x80,0x03
0.007987120,8,0x85,0x88
0.007989120,8,0x86,0x00
0.007991120,8,0x87,0x00
0.007993120,8,0x88,0x00
0.007995120,8,0x96,0x00
0.007997120,8,0x80,0x20
0.008985220,9,0x80,0x03
0.008987220,9,0x85,0x88
0.008989220,9,0x86,0x00
0.008991220,9,0x87,0x00
0.008993220,9,0x88,0x00
0.008995220,9,0x96,0x00
0.008997220,9,0x80,0x20
0.009985340,10,0x80,0x03
0.009987340,10,0x85,0x88
0.009989340,10,0x86,0x00
0.009991340,10,0x87,0x00
0.009993340,10,0x88,0x00
0.009995340,10,0x96,0x00
0.009997340,10,0x80,0x20
0.010985440,11,0x80,0x03
0.010987440,11,0x85,0x88
0.010989440,11,0x86,0x00
0.010991440,11,0x87,0x00
0.010993440,11,0x88,0x00
0.010995440,11,0x96,0x00
0.010997440,11,0x80,0x20
0.011985560,12,0x80,0x03
0.011987560,12,0x85,0x88
0.011989560,12,0x86,0x00
0.011991560,12,0x87,0x00
0.011993560,12,0x88,0x00
0.011995560,12,0x96,0x00
0.011997560,12,0x80,0x20
0.012985660,13,0x80,0x03
0.012987660,13,0x85,0x88
0.012989660,13,0x86,0x00
0.012991660,13,0x87,0x00
0.012993660,13,0x88,0x00
0.012995680,13,0x96,0x00
0.012997680,13,0x80,0x20
0.013985780,14,0x80,0x03
0.013987780,14,0x85,0x88
0.013989780,14,0x86,0x00
0.013991780,14,0x87,0x00
0.013993780,14,0x88,0x00
0.013995780,14,0x96,0x00
0.013997780,14,0x80,0x20
0.014985880,15,0x80,0x03
0.014987900,15,0x85,0x88
0.014989900,15,0x86,0x00
0.014991900,15,0x87,0x00
0.014993900,15,0x88,0x00
0.014995900,15,0x96,0x00
0.014997900,15,0x80,0x20
0.015986000,16,0x80,0x03
0.015988000,16,0x85,0x88
0.015990000,16,0x86,0x00
0.015992000,16,0x87,0x00
0.015994000,16,0x88,0x00
0.015996000,16,0x96,0x00
0.015998000,16,0x80,0x20
0.016986120,17,0x80,0x03
0.016988120,17,0x85,0x88
0.016990120,17,0x86,0x00
0.016992120,17,0x87,0x00
0.016994120,17,0x88,0x00
0.016996120,17,0x96,0x00
0.016998120,17,0x80,0x20
0.017986220,18,0x80,0x03
0.017988220,18,0x85,0x88
0.017990220,18,0x86,0x00
0.017992220,18,0x87,0x00
0.017994220,18,0x88,0x00
0.017996220,18,0x96,0x00
0.017998220,18,0x80,0x20
0.018986340,19,0x80,0x03
0.018988340,19,0x85,0x88
0.018990340,19,0x86,0x00
0.018992340,19,0x87,0x00
0.018994340,19,0x88,0x00
0.018996340,19,0x96,0x00
0.018998340,19,0x80,0x20
0.019986440,20,0x80,0x03
0.019988440,20,0x85,0x88
0.019990440,20,0x86,0x00
0.019992440,20,0x87,0x00
0.019994440,20,0x88,0x00
0.019996440,20,0x96,0x00
0.019998440,20,0x80,0x20
0.020986560,21,0x80,0x03
0.020988560,21,0x85,0x88
0.020990560,21,0x86,0x00
0.020992560,21,0x87,0x00
0.020994560,21,0x88,0x00
0.020996560,21,0x96,0x00
0.020998560,21,0x80,0x20
0.021986660,22,0x80,0x03
0.021988660,22,0x85,0x88
0.021990660,22,0x86,0x00
0.021992660,22,0x87,0x00
0.021994660,22,0x88,0x00
0.021996660,22,0x96,0x00
0.021998660,22,0x80,0x20
0.022986780,23,0x80,0x03
0.022988780,23,0x85,0x88
0.022990780,23,0x86,0x00
0.022992780,23,0x87,0x00
0.022994780,23,0x88,0x00
0.022996780,23,0x96,0x00
0.022998780,23,0x80,0x20
0.023986880,24,0x80,0x03
0.023988880,24,0x85,0x88
0.023990880,24,0x86,0x00
0.023992880,24,0x87,0x00
0.023994880,24,0x88,0x00
0.023996880,24,0x96,0x00
0.023998880,24,0x80,0x20
0.024987000,25,0x80,0x03
0.024989000,25,0x85,0x88
0.024991000,25,0x86,0x00
0.024993000,25,0x87,0x00
0.024995000,25,0x88,0x00
0.024997000,25,0x96,0x00
0.024999000,25,0x80,0x20
0.025987100,26,0x80,0x03
0.025989100,26,0x85,0x88
0.025991100,26,0x86,0x00
0.025993100,26,0x87,0x00
0.025995100,26,0x88,0x00
0.025997100,26,0x96,0x00
0.025999100,26,0x80,0x20
0.026987220,27,0x80,0x03
0.026989220,27,0x85,0x88
0.026991220,27,0x86,0x00
0.026993220,27,0x87,0x00
0.026995220,27,0x88,0x00
