Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.20000000, 1, 0, 0, 0
0.24331438, 1, 0, 0, 1
0.24331442, 1, 0, 0, 0
0.24331682, 0, 0, 0, 0
0.24331686, 0, 0, 1, 0
0.24331694, 1, 0, 1, 0
0.24331708, 0, 0, 1, 0
0.24331710, 0, 0, 0, 0
0.24331720, 1, 0, 0, 0
0.24331732, 0, 0, 0, 0
0.24331744, 1, 0, 0, 0
0.24331756, 0, 0, 0, 0
0.24331768, 1, 0, 0, 0
0.24331782, 0, 0, 0, 0
0.24331794, 1, 0, 0, 0
0.24331806, 0, 0, 0, 0
0.24331808, 0, 1, 0, 0
0.24331818, 1, 1, 0, 0
0.24331830, 0, 1, 0, 0
0.24331832, 0, 0, 0, 0
0.24331834, 0, 0, 1, 0
0.24331842, 1, 0, 1, 0
0.24331856, 0, 1, 1, 0
0.24331868, 1, 1, 1, 0
0.24331930, 1, 1, 0, 0
0.24332212, 0, 1, 0, 0
0.24332214, 0, 0, 1, 0
0.24332224, 1, 0, 1, 0
0.24332236, 0, 0, 1, 0
0.24332240, 0, 0, 0, 0
0.24332250, 1, 0, 0, 0
0.24332262, 0, 1, 0, 0
0.24332274, 1, 1, 0, 0
0.24332286, 0, 1, 0, 0
0.24332298, 1, 1, 0, 0
0.24332310, 0, 1, 0, 0
0.24332312, 0, 0, 0, 0
0.24332322, 1, 0, 0, 0
0.24332336, 0, 0, 0, 0
0.24332348, 1, 0, 0, 0
0.24332360, 0, 0, 0, 0
0.24332372, 1, 0, 0, 0
0.24332384, 0, 0, 0, 0
0.24332396, 1, 0, 0, 0
0.24332538, 1, 0, 0, 1
0.24332554, 1, 0, 0, 0
0.24332796, 0, 0, 0, 0
0.24332808, 1, 0, 0, 0
0.24332822, 0, 0, 0, 0
0.24332834, 1, 0, 0, 0
0.24332846, 0, 0, 0, 0
0.24332858, 1, 0, 0, 0
0.24332870, 0, 0, 0, 0
0.24332882, 1, 0, 0, 0
0.24332896, 0, 0, 0, 0
0.24332908, 1, 0, 0, 0
0.24332920, 0, 0, 0, 0
0.24332922, 0, 1, 0, 0
0.24332932, 1, 1, 0, 0
0.24332944, 0, 1, 0, 0
0.24332946, 0, 0, 1, 0
0.24332956, 1, 0, 1, 0
0.24332968, 0, 0, 1, 0
0.24332970, 0, 1, 1, 0
0.24332982, 1, 1, 1, 0
0.24333042, 1, 1, 0, 0
0.24333326, 0, 1, 0, 0
0.24333328, 0, 0, 0, 0
0.24333338, 1, 0, 0, 0
0.24333350, 0, 0, 0, 0
0.24333364, 1, 0, 0, 0
0.24333376, 0, 1, 0, 0
0.24333378, 0, 1, 1, 0
0.24333388, 1, 1, 1, 0
0.24333400, 0, 1, 1, 0
0.24333402, 0, 1, 0, 0
0.24333412, 1, 1, 0, 0
0.24333424, 0, 1, 0, 0
0.24333426, 0, 0, 0, 0
0.24333436, 1, 0, 0, 0
0.24333450, 0, 0, 0, 0
0.24333462, 1, 0, 0, 0
0.24333474, 0, 0, 0, 0
0.24333486, 1, 0, 0, 0
0.24333498, 0, 0, 0, 0
0.24333510, 1, 0, 0, 0
0.24333656, 1, 0, 0, 1
0.24334278, 1, 0, 0, 0
0.24334534, 0, 0, 0, 0
0.24334536, 0, 0, 1, 0
0.24334546, 1, 0, 1, 0
0.24334558, 0, 0, 1, 0
0.24334560, 0, 0, 0, 0
0.24334570, 1, 0, 0, 0
0.24334582, 0, 0, 0, 0
0.24334594, 1, 0, 0, 0
0.24334608, 0, 0, 0, 0
0.24334620, 1, 0, 0, 0
0.24334632, 0, 0, 0, 0
0.24334644, 1, 0, 0, 0
0.24334656, 0, 0, 0, 0
0.24334658, 0, 1, 0, 0
0.24334668, 1, 1, 0, 0
