Time[s], Channel 0, Channel 1, Channel 2, Channel 3
-0.00018324, 1, 0, 0, 1
-0.00001836, 1, 0, 0, 0
-0.00001576, 0, 0, 0, 0
-0.00001574, 0, 0, 1, 0
-0.00001564, 1, 0, 1, 0
-0.00001552, 0, 0, 1, 0
-0.00001550, 0, 0, 0, 0
-0.00001540, 1, 0, 0, 0
-0.00001526, 0, 0, 0, 0
-0.00001514, 1, 0, 0, 0
-0.00001502, 0, 0, 0, 0
-0.00001490, 1, 0, 0, 0
-0.00001476, 0, 0, 0, 0
-0.00001464, 1, 0, 0, 0
-0.00001452, 0, 0, 0, 0
-0.00001440, 1, 0, 0, 0
-0.00001426, 0, 1, 0, 0
-0.00001414, 1, 1, 0, 0
-0.00001402, 0, 1, 0, 0
-0.00001390, 1, 1, 0, 0
-0.00001376, 0, 1, 0, 0
-0.00001374, 0, 1, 1, 0
-0.00001364, 1, 1, 1, 0
-0.00001352, 0, 1, 1, 0
-0.00001350, 0, 0, 0, 0
-0.00001340, 1, 0, 0, 0
-0.00001326, 0, 0, 0, 0
-0.00001314, 1, 0, 0, 0
-0.00001302, 0, 0, 0, 0
-0.00001290, 1, 0, 0, 0
-0.00001276, 0, 1, 0, 0
-0.00001264, 1, 1, 0, 0
-0.00001252, 0, 1, 0, 0
-0.00001250, 0, 0, 1, 0
-0.00001240, 1, 0, 1, 0
-0.00001226, 0, 0, 1, 0
-0.00001224, 0, 0, 0, 0
-0.00001214, 1, 0, 0, 0
-0.00001202, 0, 0, 0, 0
-0.00001200, 0, 0, 1, 0
-0.00001190, 1, 0, 1, 0
-0.00001176, 0, 0, 1, 0
-0.00001164, 1, 0, 1, 0
-0.00001152, 0, 0, 1, 0
-0.00001150, 0, 0, 0, 0
-0.00001140, 1, 0, 0, 0
-0.00001126, 0, 0, 0, 0
-0.00001114, 1, 0, 0, 0
-0.00001102, 0, 0, 0, 0
-0.00001090, 1, 0, 0, 0
-0.00001076, 0, 0, 0, 0
-0.00001064, 1, 0, 0, 0
-0.00001052, 0, 0, 0, 0
-0.00001050, 0, 0, 1, 0
-0.00001040, 1, 0, 1, 0
-0.00001026, 0, 0, 1, 0
-0.00001014, 1, 0, 1, 0
-0.00001002, 0, 0, 1, 0
-0.00001000, 0, 0, 0, 0
-0.00000990, 1, 0, 0, 0
-0.00000976, 0, 0, 0, 0
-0.00000974, 0, 0, 1, 0
-0.00000964, 1, 0, 1, 0
-0.00000952, 0, 0, 1, 0
-0.00000950, 0, 0, 0, 0
-0.00000940, 1, 0, 0, 0
-0.00000926, 0, 0, 0, 0
-0.00000914, 1, 0, 0, 0
-0.00000902, 0, 0, 0, 0
-0.00000890, 1, 0, 0, 0
-0.00000876, 0, 0, 0, 0
-0.00000864, 1, 0, 0, 0
-0.00000852, 0, 0, 0, 0
-0.00000850, 0, 0, 1, 0
-0.00000840, 1, 0, 1, 0
-0.00000826, 0, 0, 1, 0
-0.00000814, 1, 0, 1, 0
-0.00000802, 0, 0, 1, 0
-0.00000790, 1, 0, 1, 0
-0.00000776, 0, 0, 1, 0
-0.00000764, 1, 0, 1, 0
-0.00000752, 0, 0, 1, 0
-0.00000750, 0, 0, 0, 0
-0.00000740, 1, 0, 0, 0
-0.00000726, 0, 0, 0, 0
-0.00000714, 1, 0, 0, 0
-0.00000702, 0, 0, 0, 0
-0.00000690, 1, 0, 0, 0
-0.00000676, 0, 0, 0, 0
-0.00000674, 0, 0, 1, 0
-0.00000664, 1, 0, 1, 0
-0.00000652, 0, 0, 1, 0
-0.00000650, 0, 0, 0, 0
-0.00000640, 1, 0, 0, 0
-0.00000626, 0, 0, 0, 0
-0.00000614, 1, 0, 0, 0
-0.00000602, 0, 0, 0, 0
-0.00000590, 1, 0, 0, 0
-0.00000576, 0, 0, 0, 0
-0.00000574, 0, 0, 1, 0
-0.00000564, 1, 0, 1, 0
-0.00000552, 0, 0, 1, 0
-0.00000550, 0, 0, 0, 0
-0.00000540, 1, 0, 0, 0
-0.00000526, 0, 0, 0, 0
-0.00000514, 1, 0, 0, 0
-0.00000502, 0, 0, 0, 0
-0.00000500, 0, 0, 1, 0
-0.00000490, 1, 0, 1, 0
-0.00000476, 0, 0, 1, 0
-0.00000474, 0, 0, 0, 0
-0.00000464, 1, 0, 0, 0
-0.00000452, 0, 0, 0, 0
-0.00000450, 0, 0, 1, 0
-0.00000440, 1, 0, 1, 0
-0.00000426, 0, 0, 1, 0
-0.00000414, 1, 0, 1, 0
-0.00000402, 0, 0, 1, 0
-0.00000400, 0, 0, 0, 0
-0.00000390, 1, 0, 0, 0
-0.00000376, 0, 0, 0, 0
-0.00000374, 0, 0, 1, 0
-0.00000364, 1, 0, 1, 0
-0.00000352, 0, 0, 1, 0
-0.00000350, 0, 0, 0, 0
-0.00000340, 1, 0, 0, 0
-0.00000326, 0, 1, 0, 0
-0.00000314, 1, 1, 0, 0
-0.00000302, 0, 1, 0, 0
-0.00000300, 0, 0, 0, 0
-0.00000290, 1, 0, 0, 0
-0.00000276, 0, 0, 0, 0
-0.00000264, 1, 0, 0, 0
-0.00000252, 0, 0, 0, 0
-0.00000240, 1, 0, 0, 0
-0.00000226, 0, 0, 0, 0
-0.00000214, 1, 0, 0, 0
-0.00000202, 0, 0, 0, 0
-0.00000190, 1, 0, 0, 0
0.00000000, 1, 0, 0, 1
0.00098174, 1, 0, 0, 0
0.00098434, 0, 0, 0, 0
0.00098436, 0, 0, 1, 0
0.00098446, 1, 0, 1, 0
0.00098460, 0, 0, 1, 0
0.00098462, 0, 0, 0, 0
0.00098472, 1, 0, 0, 0
0.00098484, 0, 0, 0, 0
0.00098496, 1, 0, 0, 0
0.00098510, 0, 0, 0, 0
0.00098522, 1, 0, 0, 0
0.00098534, 0, 0, 0, 0
0.00098546, 1, 0, 0, 0
0.00098560, 0, 0, 0, 0
0.00098572, 1, 0, 0, 0
0.00098584, 0, 0, 0, 0
0.00098586, 0, 1, 0, 0
0.00098596, 1, 1, 0, 0
0.00098610, 0, 1, 0, 0
0.00098622, 1, 1, 0, 0
0.00098634, 0, 1, 0, 0
0.00098636, 0, 1, 1, 0
0.00098646, 1, 1, 1, 0
0.00098660, 0, 0, 1, 0
0.00098662, 0, 0, 0, 0
0.00098672, 1, 0, 0, 0
0.00098684, 0, 0, 0, 0
0.00098696, 1, 0, 0, 0
0.00098710, 0, 0, 0, 0
0.00098722, 1, 0, 0, 0
0.00098734, 0, 0, 0, 0
0.00098736, 0, 1, 0, 0
0.00098746, 1, 1, 0, 0
0.00098760, 0, 0, 0, 0
0.00098762, 0, 0, 1, 0
0.00098772, 1, 0, 1, 0
0.00098784, 0, 0, 1, 0
0.00098786, 0, 0, 0, 0
0.00098796, 1, 0, 0, 0
0.00098810, 0, 0, 0, 0
0.00098812, 0, 0, 1, 0
0.00098822, 1, 0, 1, 0
0.00098834, 0, 0, 1, 0
0.00098846, 1, 0, 1, 0
0.00098860, 0, 0, 1, 0
0.00098862, 0, 0, 0, 0
0.00098872, 1, 0, 0, 0
0.00098884, 0, 0, 0, 0
0.00098896, 1, 0, 0, 0
0.00098910, 0, 0, 0, 0
0.00098922, 1, 0, 0, 0
0.00098934, 0, 0, 0, 0
0.00098946, 1, 0, 0, 0
0.00098960, 0, 0, 0, 0
0.00098962, 0, 0, 1, 0
0.00098972, 1, 0, 1, 0
0.00098984, 0, 0, 1, 0
0.00098996, 1, 0, 1, 0
0.00099010, 0, 0, 1, 0
0.00099012, 0, 0, 0, 0
0.00099022, 1, 0, 0, 0
0.00099034, 0, 0, 0, 0
0.00099036, 0, 0, 1, 0
0.00099046, 1, 0, 1, 0
0.00099060, 0, 0, 1, 0
0.00099062, 0, 0, 0, 0
0.00099072, 1, 0, 0, 0
0.00099084, 0, 0, 0, 0
0.00099096, 1, 0, 0, 0
0.00099110, 0, 0, 0, 0
0.00099122, 1, 0, 0, 0
0.00099134, 0, 0, 0, 0
0.00099146, 1, 0, 0, 0
0.00099160, 0, 0, 0, 0
0.00099162, 0, 0, 1, 0
0.00099172, 1, 0, 1, 0
0.00099184, 0, 0, 1, 0
0.00099196, 1, 0, 1, 0
0.00099210, 0, 0, 1, 0
0.00099222, 1, 0, 1, 0
0.00099234, 0, 0, 1, 0
0.00099246, 1, 0, 1, 0
0.00099260, 0, 0, 1, 0
0.00099262, 0, 0, 0, 0
0.00099272, 1, 0, 0, 0
0.00099284, 0, 0, 0, 0
0.00099296, 1, 0, 0, 0
0.00099310, 0, 0, 0, 0
0.00099322, 1, 0, 0, 0
0.00099334, 0, 0, 0, 0
0.00099336, 0, 0, 1, 0
0.00099346, 1, 0, 1, 0
0.00099360, 0, 0, 1, 0
0.00099362, 0, 0, 0, 0
0.00099372, 1, 0, 0, 0
0.00099384, 0, 0, 0, 0
0.00099396, 1, 0, 0, 0
0.00099410, 0, 0, 0, 0
0.00099422, 1, 0, 0, 0
0.00099434, 0, 0, 0, 0
0.00099438, 0, 0, 1, 0
