Time[s], Channel 0, Channel 1, Channel 2, Channel 3, button 5 (dpi)
-0.00500006, 1, 0, 0, 1, 1
-0.00439164, 1, 0, 0, 0, 1
-0.00438904, 0, 0, 0, 0, 1
-0.00438902, 0, 0, 1, 0, 1
-0.00438892, 1, 0, 1, 0, 1
-0.00438880, 0, 0, 1, 0, 1
-0.00438876, 0, 0, 0, 0, 1
-0.00438866, 1, 0, 0, 0, 1
-0.00438854, 0, 0, 0, 0, 1
-0.00438842, 1, 0, 0, 0, 1
-0.00438830, 0, 0, 0, 0, 1
-0.00438816, 1, 0, 0, 0, 1
-0.00438804, 0, 0, 0, 0, 1
-0.00438792, 1, 0, 0, 0, 1
-0.00438780, 0, 0, 0, 0, 1
-0.00438766, 1, 0, 0, 0, 1
-0.00438754, 0, 0, 0, 0, 1
-0.00438752, 0, 1, 0, 0, 1
-0.00438742, 1, 1, 0, 0, 1
-0.00438730, 0, 1, 0, 0, 1
-0.00438716, 1, 1, 0, 0, 1
-0.00438704, 0, 1, 0, 0, 1
-0.00438702, 0, 1, 1, 0, 1
-0.00438692, 1, 1, 1, 0, 1
-0.00438680, 0, 1, 1, 0, 1
-0.00438678, 0, 0, 1, 0, 1
-0.00438676, 0, 0, 0, 0, 1
-0.00438666, 1, 0, 0, 0, 1
-0.00438654, 0, 0, 0, 0, 1
-0.00438642, 1, 0, 0, 0, 1
-0.00438630, 0, 0, 0, 0, 1
-0.00438616, 1, 0, 0, 0, 1
-0.00438604, 0, 0, 0, 0, 1
-0.00438602, 0, 1, 0, 0, 1
-0.00438592, 1, 1, 0, 0, 1
-0.00438580, 0, 1, 0, 0, 1
-0.00438578, 0, 0, 0, 0, 1
-0.00438576, 0, 0, 1, 0, 1
-0.00438566, 1, 0, 1, 0, 1
-0.00438554, 0, 0, 1, 0, 1
-0.00438552, 0, 0, 0, 0, 1
-0.00438542, 1, 0, 0, 0, 1
-0.00438530, 0, 0, 0, 0, 1
-0.00438526, 0, 0, 1, 0, 1
-0.00438516, 1, 0, 1, 0, 1
-0.00438504, 0, 0, 1, 0, 1
-0.00438492, 1, 0, 1, 0, 1
-0.00438480, 0, 0, 1, 0, 1
-0.00438476, 0, 0, 0, 0, 1
-0.00438466, 1, 0, 0, 0, 1
-0.00438454, 0, 0, 0, 0, 1
-0.00438442, 1, 0, 0, 0, 1
-0.00438430, 0, 0, 0, 0, 1
-0.00438416, 1, 0, 0, 0, 1
-0.00438404, 0, 0, 0, 0, 1
-0.00438392, 1, 0, 0, 0, 1
-0.00438380, 0, 0, 0, 0, 1
-0.00438376, 0, 0, 1, 0, 1
-0.00438366, 1, 0, 1, 0, 1
-0.00438354, 0, 0, 1, 0, 1
-0.00438342, 1, 0, 1, 0, 1
-0.00438330, 0, 0, 1, 0, 1
-0.00438326, 0, 0, 0, 0, 1
-0.00438316, 1, 0, 0, 0, 1
-0.00438304, 0, 0, 0, 0, 1
-0.00438302, 0, 0, 1, 0, 1
-0.00438292, 1, 0, 1, 0, 1
-0.00438280, 0, 0, 1, 0, 1
-0.00438276, 0, 0, 0, 0, 1
-0.00438266, 1, 0, 0, 0, 1
-0.00438254, 0, 0, 0, 0, 1
-0.00438242, 1, 0, 0, 0, 1
-0.00438230, 0, 0, 0, 0, 1
-0.00438216, 1, 0, 0, 0, 1
-0.00438204, 0, 0, 0, 0, 1
-0.00438192, 1, 0, 0, 0, 1
-0.00438180, 0, 0, 0, 0, 1
-0.00438176, 0, 0, 1, 0, 1
-0.00438166, 1, 0, 1, 0, 1
-0.00438154, 0, 0, 1, 0, 1
-0.00438142, 1, 0, 1, 0, 1
-0.00438130, 0, 0, 1, 0, 1
-0.00438116, 1, 0, 1, 0, 1
-0.00438104, 0, 0, 1, 0, 1
-0.00438092, 1, 0, 1, 0, 1
-0.00438080, 0, 0, 1, 0, 1
-0.00438076, 0, 0, 0, 0, 1
-0.00438066, 1, 0, 0, 0, 1
-0.00438054, 0, 0, 0, 0, 1
-0.00438042, 1, 0, 0, 0, 1
-0.00438030, 0, 0, 0, 0, 1
-0.00438016, 1, 0, 0, 0, 1
-0.00438004, 0, 0, 0, 0, 1
-0.00438002, 0, 0, 1, 0, 1
-0.00437992, 1, 0, 1, 0, 1
-0.00437980, 0, 0, 1, 0, 1
-0.00437976, 0, 0, 0, 0, 1
-0.00437966, 1, 0, 0, 0, 1
-0.00437954, 0, 0, 0, 0, 1
-0.00437942, 1, 0, 0, 0, 1
-0.00437930, 0, 0, 0, 0, 1
-0.00437916, 1, 0, 0, 0, 1
-0.00437904, 0, 0, 0, 0, 1
-0.00437902, 0, 0, 1, 0, 1
-0.00437892, 1, 0, 1, 0, 1
-0.00437880, 0, 0, 1, 0, 1
-0.00437876, 0, 0, 0, 0, 1
-0.00437866, 1, 0, 0, 0, 1
-0.00437854, 0, 0, 0, 0, 1
-0.00437842, 1, 0, 0, 0, 1
-0.00437830, 0, 0, 0, 0, 1
-0.00437826, 0, 0, 1, 0, 1
-0.00437816, 1, 0, 1, 0, 1
-0.00437804, 0, 0, 1, 0, 1
-0.00437802, 0, 0, 0, 0, 1
-0.00437792, 1, 0, 0, 0, 1
-0.00437780, 0, 0, 0, 0, 1
-0.00437776, 0, 0, 1, 0, 1
-0.00437766, 1, 0, 1, 0, 1
-0.00437754, 0, 0, 1, 0, 1
-0.00437742, 1, 0, 1, 0, 1
-0.00437730, 0, 0, 1, 0, 1
-0.00437726, 0, 0, 0, 0, 1
-0.00437716, 1, 0, 0, 0, 1
-0.00437704, 0, 0, 0, 0, 1
-0.00437702, 0, 0, 1, 0, 1
-0.00437692, 1, 0, 1, 0, 1
-0.00437680, 0, 0, 1, 0, 1
-0.00437676, 0, 0, 0, 0, 1
-0.00437666, 1, 0, 0, 0, 1
-0.00437654, 0, 0, 0, 0, 1
-0.00437652, 0, 1, 0, 0, 1
-0.00437642, 1, 1, 0, 0, 1
-0.00437630, 0, 1, 0, 0, 1
-0.00437628, 0, 0, 0, 0, 1
-0.00437616, 1, 0, 0, 0, 1
-0.00437604, 0, 0, 0, 0, 1
-0.00437592, 1, 0, 0, 0, 1
-0.00437580, 0, 0, 0, 0, 1
-0.00437566, 1, 0, 0, 0, 1
-0.00437554, 0, 0, 0, 0, 1
-0.00437542, 1, 0, 0, 0, 1
-0.00437530, 0, 0, 0, 0, 1
-0.00437516, 1, 0, 0, 0, 1
-0.00437328, 1, 0, 0, 1, 1
-0.00339160, 1, 0, 0, 0, 1
-0.00338900, 0, 0, 0, 0, 1
-0.00338896, 0, 0, 1, 0, 1
-0.00338886, 1, 0, 1, 0, 1
-0.00338874, 0, 0, 1, 0, 1
-0.00338872, 0, 0, 0, 0, 1
-0.00338862, 1, 0, 0, 0, 1
-0.00338850, 0, 0, 0, 0, 1
-0.00338836, 1, 0, 0, 0, 1
-0.00338824, 0, 0, 0, 0, 1
-0.00338812, 1, 0, 0, 0, 1
-0.00338800, 0, 0, 0, 0, 1
-0.00338786, 1, 0, 0, 0, 1
-0.00338774, 0, 0, 0, 0, 1
-0.00338762, 1, 0, 0, 0, 1
-0.00338750, 0, 0, 0, 0, 1
-0.00338748, 0, 1, 0, 0, 1
-0.00338736, 1, 1, 0, 0, 1
-0.00338724, 0, 1, 0, 0, 1
-0.00338712, 1, 1, 0, 0, 1
-0.00338700, 0, 1, 0, 0, 1
-0.00338696, 0, 1, 1, 0, 1
-0.00338686, 1, 1, 1, 0, 1
-0.00338674, 0, 0, 1, 0, 1
-0.00338672, 0, 0, 0, 0, 1
-0.00338662, 1, 0, 0, 0, 1
-0.00338650, 0, 0, 0, 0, 1
-0.00338636, 1, 0, 0, 0, 1
-0.00338624, 0, 0, 0, 0, 1
-0.00338612, 1, 0, 0, 0, 1
-0.00338600, 0, 0, 0, 0, 1
-0.00338598, 0, 1, 0, 0, 1
-0.00338586, 1, 1, 0, 0, 1
-0.00338574, 0, 0, 0, 0, 1
-0.00338572, 0, 0, 1, 0, 1
-0.00338562, 1, 0, 1, 0, 1
-0.00338550, 0, 0, 1, 0, 1
-0.00338546, 0, 0, 0, 0, 1
-0.00338536, 1, 0, 0, 0, 1
-0.00338524, 0, 0, 0, 0, 1
-0.00338522, 0, 0, 1, 0, 1
-0.00338512, 1, 0, 1, 0, 1
-0.00338500, 0, 0, 1, 0, 1
-0.00338486, 1, 0, 1, 0, 1
-0.00338474, 0, 0, 1, 0, 1
-0.00338472, 0, 0, 0, 0, 1
-0.00338462, 1, 0, 0, 0, 1
-0.00338450, 0, 0, 0, 0, 1
-0.00338436, 1, 0, 0, 0, 1
-0.00338424, 0, 0, 0, 0, 1
-0.00338412, 1, 0, 0, 0, 1
-0.00338400, 0, 0, 0, 0, 1
-0.00338386, 1, 0, 0, 0, 1
-0.00338374, 0, 0, 0, 0, 1
-0.00338372, 0, 0, 1, 0, 1
-0.00338362, 1, 0, 1, 0, 1
-0.00338350, 0, 0, 1, 0, 1
-0.00338336, 1, 0, 1, 0, 1
-0.00338324, 0, 0, 1, 0, 1
-0.00338322, 0, 0, 0, 0, 1
-0.00338312, 1, 0, 0, 0, 1
-0.00338300, 0, 0, 0, 0, 1
-0.00338296, 0, 0, 1, 0, 1
-0.00338286, 1, 0, 1, 0, 1
-0.00338274, 0, 0, 1, 0, 1
-0.00338272, 0, 0, 0, 0, 1
-0.00338262, 1, 0, 0, 0, 1
-0.00338250, 0, 0, 0, 0, 1
-0.00338236, 1, 0, 0, 0, 1
-0.00338224, 0, 0, 0, 0, 1
-0.00338212, 1, 0, 0, 0, 1
-0.00338200, 0, 0, 0, 0, 1
-0.00338186, 1, 0, 0, 0, 1
-0.00338174, 0, 0, 0, 0, 1
-0.00338172, 0, 0, 1, 0, 1
-0.00338162, 1, 0, 1, 0, 1
-0.00338150, 0, 0, 1, 0, 1
-0.00338136, 1, 0, 1, 0, 1
-0.00338124, 0, 0, 1, 0, 1
-0.00338112, 1, 0, 1, 0, 1
-0.00338100, 0, 0, 1, 0, 1
-0.00338086, 1, 0, 1, 0, 1
